Player,Age,Pos,GP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48
Donnie Boyce,21.8323066392882,Backcourt,30,6.5,2.6,0.8,0.5,0.4,0.2,0.349,0.25,0.5,-0.064
Pat Durham,22.3148528405202,Frontcourt,64,14.5,5,1.7,0.9,0.6,0.5,0.469,0.192,0.667,0.037
Tom Hammonds,22.2683093771389,Frontcourt,687,15.2,5.3,3.3,0.6,0.2,0.2,0.48,0,0.691,0.068
Melvin Turpin,23.4900752908966,Frontcourt,361,19,8.5,4.6,0.5,0.4,1,0.516,0.111,0.777,0.096
Dwayne McClain,22.3750855578371,Backcourt,45,10.2,3.5,0.7,1.5,0.8,0.1,0.383,0.111,0.514,-0.026
Carl Nicks,21.6926762491444,Backcourt,156,16.5,6.8,1.9,1.6,0.8,0,0.462,0,0.57,-0.007
George Zidek,21.9171800136893,Frontcourt,135,9.8,3.4,2.1,0.2,0.1,0.1,0.408,0.25,0.783,0.029
Ledell Eackles,21.6078028747433,Backcourt,441,20.2,10.8,2.2,1.7,0.6,0.1,0.445,0.336,0.767,0.058
Adonis Jordan,22.8733744010951,Backcourt,10,9.7,2.1,0.6,2.2,0.3,0.1,0.296,0.25,0.5,-0.015
James Ray,22.8870636550308,Frontcourt,103,8.2,3.2,2.2,0.7,0.4,0.4,0.428,0.333,0.629,-0.017
Mike Morrison,21.8788501026694,Backcourt,36,4.3,2,0.6,0.3,0.1,0,0.338,0.286,0.8,-0.106
Gaylon Nickerson,25.4106776180698,Backcourt,4,10.5,3.8,1.3,0.3,0.3,0.3,0.333,0,1,0.076
Doug Lee,22.6735112936345,Backcourt,73,5.7,2.3,0.6,0.4,0.2,0.1,0.412,0.31,0.7,0.086
Felton Spencer,22.4626967830253,Frontcourt,640,19.2,5.2,5.4,0.3,0.4,0.8,0.484,0,0.658,0.081
Alvin Williams,22.9007529089665,Backcourt,460,27.4,9,2.5,4.1,1.2,0.2,0.421,0.313,0.76,0.082
Grant Hill,21.7446954140999,Frontcourt,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,0.138
Russ Schoene,22.2162902121834,Frontcourt,290,12.2,5.1,2.5,0.6,0.4,0.2,0.435,0.335,0.751,0.061
Brent Barry,23.5065023956194,Backcourt,912,25.9,9.3,3,3.2,1,0.3,0.46,0.405,0.823,0.143
Tim Thomas,20.3394934976044,Frontcourt,824,25.9,11.5,4.1,1.5,0.7,0.4,0.437,0.369,0.758,0.079
Stephon Marbury,19.3586584531143,Backcourt,846,37.7,19.3,3,7.6,1.2,0.1,0.433,0.325,0.784,0.117
Chris Mills,23.4435318275154,Frontcourt,568,30.4,11.2,4.9,1.9,0.7,0.4,0.432,0.351,0.817,0.105
Robert Horry,21.8459958932238,Frontcourt,1107,24.5,7,4.8,2.1,1,0.9,0.425,0.341,0.726,0.118
Randy Breuer,22.72553045859,Frontcourt,681,18.4,6.8,4.4,0.9,0.4,1.1,0.467,0,0.628,0.08
Kenny Smith,22.3039014373717,Backcourt,737,30.1,12.8,2,5.5,1,0.1,0.48,0.399,0.829,0.101
Olden Polynice,22.5968514715948,Frontcourt,1058,23.5,7.8,6.7,0.7,0.5,0.6,0.505,0.192,0.535,0.09
Kenny Battle,24.7282683093771,Frontcourt,134,13.4,4.7,2.4,0.8,0.7,0.2,0.504,0.133,0.725,0.098
Tom Sluby,22.3477070499658,Backcourt,31,4.9,2.4,0.4,0.5,0.1,0,0.517,0,0.619,0.052
Reggie Smith,21.8569472963723,Frontcourt,66,5.8,1.5,1.8,0.1,0.2,0.1,0.394,0,0.404,0.051
Rod Strickland,21.9801505817933,Backcourt,1094,30.7,13.2,3.7,7.3,1.5,0.2,0.454,0.282,0.721,0.122
Lou Roe,22.9691991786448,Frontcourt,66,7.3,2,1.4,0.3,0.2,0.1,0.333,0.25,0.647,-0.001
Bernard Toone,22.9609856262834,Frontcourt,23,5.4,2.4,1.5,0.5,0.2,0.2,0.359,0.143,0.8,-0.036
Theo Ratliff,22.2108145106092,Frontcourt,810,25.3,7.2,5.7,0.6,0.5,2.4,0.496,0,0.71,0.112
Joe Kleine,23.4681724845996,Frontcourt,965,15.2,4.8,4.1,0.6,0.3,0.3,0.453,0.271,0.794,0.062
Kevin Loder,22.2518822724162,Frontcourt,148,14.1,5.9,2.3,1.2,0.5,0.3,0.461,0.261,0.695,0.055
Ron Harper,22.4216290212183,Backcourt,1009,30.9,13.8,4.3,3.9,1.7,0.7,0.446,0.289,0.72,0.101
Vern Fleming,22.3860369609856,Backcourt,893,27.7,11.3,3.4,4.8,1,0.1,0.498,0.181,0.764,0.101
Rafael Addison,21.9171800136893,Frontcourt,379,15,5.8,2.1,0.9,0.4,0.2,0.449,0.282,0.772,0.041
Josh Grant,25.9144421629021,Frontcourt,53,7.2,3,1.7,0.5,0.3,0.2,0.404,0.279,0.759,0.06
John Stockton,22.249144421629,Backcourt,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,0.209
Robert Werdann,21.7967145790554,Frontcourt,47,5.8,2.1,1.7,0.2,0.3,0.2,0.378,0,0.574,0.026
Duane Cooper,23.0136892539357,Backcourt,88,8.9,2.3,0.7,2,0.2,0,0.402,0.216,0.72,-0.032
Don Collins,21.5475701574264,Frontcourt,303,20.2,9.8,2.8,1.8,1.1,0.3,0.485,0.069,0.749,0.082
Anthony Johnson,22.7446954140999,Backcourt,793,19.6,5.6,1.7,2.9,0.7,0.1,0.414,0.356,0.745,0.072
Jon Koncak,22.104038329911,Frontcourt,784,20.9,4.5,4.9,1,0.7,1,0.47,0.226,0.597,0.085
Kevin Edwards,22.6762491444216,Backcourt,604,25.4,10.9,2.7,2.7,1.4,0.3,0.423,0.335,0.803,0.039
Keith Edmonson,21.7638603696099,Backcourt,87,10.7,6,1.5,0.6,0.4,0.1,0.448,0,0.719,0.022
Grant Long,22.3121149897331,Frontcourt,1003,28.4,9.5,6.1,1.7,1.2,0.4,0.467,0.283,0.761,0.101
Tony Delk,22.4243668720055,Backcourt,545,21.5,9.1,2.5,1.9,0.8,0.1,0.408,0.343,0.769,0.08
Mark Hendrickson,22.0246406570842,Frontcourt,114,13.2,3.3,2.8,0.6,0.4,0.1,0.416,0.167,0.803,0.067
Brad Lohaus,22.7419575633128,Frontcourt,656,15.8,5.9,2.8,1.1,0.5,0.8,0.44,0.361,0.733,0.07
Chris Crawford,22.1341546885695,Frontcourt,252,15.8,6.6,2.2,0.6,0.4,0.3,0.437,0.347,0.824,0.078
Jeff Malone,22.0136892539357,Backcourt,905,32.8,19,2.6,2.4,0.6,0.1,0.484,0.268,0.871,0.088
Jim Farmer,22.7583846680356,Backcourt,136,10.7,5.3,1.4,0.8,0.3,0,0.428,0.282,0.73,0.024
Othella Harrington,22.4161533196441,Frontcourt,709,19.6,7.4,4.4,0.6,0.3,0.4,0.505,0,0.738,0.08
Anthony Miller,22.7008898015058,Frontcourt,181,9,2.8,2.7,0.4,0.3,0.1,0.51,0.25,0.576,0.11
Roy Rogers,22.8678986995209,Frontcourt,137,16.9,4.8,3.5,0.4,0.2,1.5,0.483,0.5,0.532,0.035
Lucious Harris,22.5475701574264,Backcourt,800,19.6,7.2,2.3,1.4,0.7,0.1,0.426,0.348,0.79,0.088
Chris Robinson,22.249144421629,Backcourt,76,14.4,4.6,1.5,1.4,0.6,0.2,0.376,0.374,0.571,-0.003
Kenny Walker,21.8432580424367,Frontcourt,448,20.2,7,4,0.7,0.5,0.7,0.485,0.206,0.749,0.095
Ed O'Bannon,22.8843258042437,Frontcourt,128,16.1,5,2.5,0.8,0.6,0.2,0.367,0.222,0.755,0.025
Bob McCann,23.1806981519507,Frontcourt,178,13.4,4.2,2.6,0.6,0.4,0.4,0.479,0.2,0.577,0.041
Darnell Mee,22.3969883641342,Backcourt,40,7.3,1.9,0.9,0.5,0.4,0.3,0.312,0.222,0.444,-0.02
Brook Steppe,22.6570841889117,Backcourt,238,12,5.4,1.4,1.2,0.4,0.1,0.469,0.31,0.82,0.078
Stacey King,22.4243668720055,Frontcourt,438,16.9,6.4,3.3,0.9,0.4,0.5,0.478,0.235,0.707,0.071
Chris King,22.933607118412,Frontcourt,103,20,6.7,3,1.1,0.7,0.3,0.423,0.383,0.633,0.023
Pervis Ellison,22.249144421629,Frontcourt,474,24.5,9.5,6.7,1.5,0.6,1.6,0.51,0.05,0.689,0.09
Reggie King,22.37234770705,Frontcourt,438,25.9,8.9,6.2,1.6,0.8,0.3,0.514,0,0.699,0.105
Leon Wood,22.2518822724162,Backcourt,274,16.5,6.4,1.2,3.2,0.5,0,0.392,0.326,0.792,0.071
Craig Shelton,23.1259411362081,Frontcourt,59,10.3,4.1,2.4,0.5,0.3,0.1,0.453,0,0.6,-0.001
Darren Tillis,22.3613963039014,Frontcourt,124,10.1,3.4,2.5,0.3,0.2,0.7,0.423,0,0.626,0.036
Brian Davis,22.0246406570842,Frontcourt,68,5.5,1.9,0.8,0.3,0.2,0.1,0.317,0.333,0.735,0
Zydrunas Ilgauskas,21.0739219712526,Frontcourt,843,27.2,13,7.3,1.1,0.5,1.6,0.476,0.31,0.78,0.139
Eric Snow,22.1916495550992,Backcourt,846,27.3,6.8,2.5,5,1.2,0.1,0.424,0.208,0.763,0.09
Vinnie Johnson,22.8268309377139,Backcourt,984,24.7,12,3.2,3.3,0.9,0.3,0.464,0.254,0.74,0.1
Les Jepsen,23.0246406570842,Frontcourt,52,3.7,1,1.3,0,0,0.2,0.333,0,0.65,0.031
Scottie Pippen,21.7529089664613,Frontcourt,1178,34.9,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,0.146
Shareef Abdur-Rahim,19.5530458590007,Frontcourt,830,34.8,18.1,7.5,2.5,1,0.8,0.472,0.297,0.81,0.118
Shawn Kemp,19.5968514715948,Frontcourt,1051,27.9,14.6,8.4,1.6,1.1,1.2,0.488,0.277,0.741,0.147
Randy Brown,23.1095140314853,Backcourt,655,17.6,4.8,1.8,2.2,1.1,0.2,0.417,0.2,0.691,0.046
Fat Lever,21.8761122518823,Backcourt,752,31.7,13.9,6,6.2,2.2,0.3,0.447,0.31,0.771,0.123
Maurice Martin,21.9719370294319,Frontcourt,69,6.1,3,0.9,0.7,0.3,0.1,0.378,0.211,0.598,-0.033
Walter Palmer,21.6899383983573,Frontcourt,48,4.4,2.1,1.4,0.2,0.1,0.2,0.412,0,0.667,-0.013
Patrick Ewing,22.8843258042437,Frontcourt,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.152,0.74,0.15
Joe Smith,19.9363449691992,Frontcourt,1030,26.2,10.9,6.4,1,0.6,0.8,0.455,0.238,0.79,0.107
Xavier McDaniel,22.0547570157426,Frontcourt,870,29,15.6,6.1,2,0.9,0.5,0.485,0.261,0.718,0.091
Larry Demic,22.0082135523614,Frontcourt,206,15.5,4.7,3.9,0.5,0.3,0.2,0.459,0,0.58,0.022
Clifford Rozier,21.6735112936345,Frontcourt,173,17.2,4.8,5.2,0.6,0.5,0.7,0.496,0.182,0.465,0.063
Magic Johnson,19.8761122518823,Backcourt,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,0.225
Allen Iverson,21.0684462696783,Backcourt,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,0.126
Travis Knight,21.7994524298426,Frontcourt,371,12.3,3.4,3.1,0.6,0.4,0.6,0.438,0.259,0.696,0.083
Scott Haffner,23.4134154688569,Backcourt,50,12.2,4.3,1.1,1.8,0.3,0.1,0.403,0.13,0.667,-0.012
Sam Worthen,22.4106776180698,Backcourt,69,14,3.5,1.7,1.7,0.8,0.1,0.492,0,0.75,0.032
Amal McCaskill,22.6762491444216,Frontcourt,114,8.5,1.8,1.9,0.3,0.2,0.3,0.377,0,0.609,0.024
Richard Dumas,22.1177275838467,Frontcourt,102,21.8,10.6,3.4,1.1,1.3,0.5,0.509,0.231,0.694,0.097
Danny Ferry,22.7091033538672,Frontcourt,917,19.8,7,2.8,1.3,0.4,0.3,0.446,0.393,0.84,0.092
Roy Tarpley,21.5639972621492,Frontcourt,280,26.7,12.6,10,1,1.1,1.2,0.483,0.176,0.744,0.127
Mario Bennett,21.9199178644764,Frontcourt,68,8.9,4,2.7,0.4,0.5,0.3,0.534,0.333,0.511,0.153
Terrell Brandon,21.1149897330596,Backcourt,724,29.8,13.8,3,6.1,1.6,0.3,0.448,0.355,0.873,0.147
Marko Milic,20.1478439425051,Backcourt,44,4.9,2.5,0.7,0.3,0.3,0,0.56,0.429,0.647,0.047
Gary Garland,21.7145790554415,Backcourt,78,14.2,4.3,1.8,1.9,0.7,0.1,0.435,0.316,0.692,0.02
John Williams,19.6543463381246,Frontcourt,435,25.2,10.1,5.1,2.9,1.3,0.4,0.451,0.225,0.704,0.087
Blair Rasmussen,22.6105407255305,Frontcourt,532,21.4,9.6,5.7,0.9,0.4,0.9,0.472,0.257,0.767,0.08
Kelvin Ransey,22.1204654346338,Backcourt,474,24.4,11.4,1.9,5.2,1,0.1,0.454,0.132,0.782,0.074
Ralph Sampson,22.9883641341547,Frontcourt,456,29.8,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,0.071
Reggie Carter,21.7200547570157,Backcourt,135,10.8,3.5,1.2,1.5,0.4,0.1,0.388,0,0.772,0.014
Charlie Ward,23.7282683093771,Backcourt,630,22.3,6.3,2.6,4,1.2,0.2,0.408,0.364,0.771,0.113
Randy Livingston,21.249144421629,Backcourt,203,13.2,3.8,1.4,2,0.6,0.2,0.406,0.351,0.771,0.041
Herb Williams,23.3258042436687,Frontcourt,1102,25.8,10.8,5.9,1.7,0.5,1.5,0.467,0.095,0.696,0.061
Randy Woods,21.766598220397,Backcourt,151,7.2,2.4,0.6,1.7,0.6,0,0.34,0.305,0.683,0.026
Rumeal Robinson,23.6351813826146,Backcourt,336,18.1,7.6,1.8,3.5,0.9,0.2,0.432,0.344,0.611,0.041
Darrell Walker,22.3175906913073,Backcourt,720,25.8,8.9,4.4,4.6,1.5,0.3,0.435,0.059,0.713,0.071
Jayson Williams,22.3586584531143,Frontcourt,475,20.6,7.3,7.5,0.6,0.4,0.6,0.44,0.125,0.606,0.098
LaSalle Thompson,21.0301163586585,Frontcourt,985,21.6,7.9,6.8,1.2,0.8,1,0.492,0.154,0.737,0.079
Anfernee Hardaway,21.9664613278576,Backcourt,704,33.7,15.2,4.5,5,1.6,0.4,0.458,0.316,0.774,0.125
Eddie Jones,22.7063655030801,Backcourt,954,34.4,14.8,4,2.9,1.7,0.6,0.437,0.373,0.809,0.147
Dell Curry,21.9911019849418,Backcourt,1083,21.7,11.7,2.4,1.8,0.9,0.2,0.457,0.402,0.843,0.085
Michael Smith,24.1232032854209,Frontcourt,141,9.4,5,1.5,1,0.1,0,0.474,0.15,0.835,0.049
Michael Young,23.476386036961,Frontcourt,49,9.6,4.6,1.8,0.5,0.5,0.1,0.465,0.296,0.711,0.11
Cory Alexander,22.0301163586585,Backcourt,307,15.8,5.5,1.6,2.7,0.9,0.1,0.389,0.354,0.756,0.03
Jermaine O'Neal,17.7145790554415,Frontcourt,1011,27.1,13.2,7.2,1.4,0.5,1.8,0.467,0.147,0.715,0.116
Donyell Marshall,21.1286789869952,Frontcourt,957,26.2,11.2,6.7,1.4,0.8,0.9,0.435,0.35,0.731,0.113
Malik Rose,21.6050650239562,Frontcourt,813,16.5,6.2,4.1,0.8,0.6,0.4,0.437,0.177,0.743,0.095
Dino Radja,22.1916495550992,Frontcourt,224,32.6,16.7,8.4,1.6,0.9,1.3,0.497,0,0.735,0.094
Mike Woodson,22.2299794661191,Backcourt,786,25.5,14,2.3,2.3,1.2,0.3,0.466,0.271,0.813,0.083
Hersey Hawkins,21.7611225188227,Backcourt,983,32.6,14.7,3.6,2.9,1.7,0.3,0.461,0.394,0.87,0.136
Carlos Rogers,23.4079397672827,Frontcourt,298,19,7.4,4.3,0.6,0.4,0.8,0.536,0.258,0.562,0.095
Charles Smith,21.8569472963723,Backcourt,142,13.9,5.1,1.4,0.9,0.6,0.5,0.409,0.288,0.606,0.036
Granville Waiters,22.4818617385352,Frontcourt,249,10.2,2.4,2.2,0.5,0.2,0.7,0.458,0,0.559,0.036
Vitaly Potapenko,21.2819986310746,Frontcourt,610,19,6.5,4.5,0.7,0.4,0.3,0.479,0.167,0.694,0.064
Roy Hamilton,21.9445585215606,Backcourt,73,15.4,4.6,1.5,2.6,0.7,0.1,0.4,0,0.684,-0.017
Danny Fortson,21.2600958247775,Frontcourt,440,20.1,8.2,7.2,0.7,0.4,0.2,0.472,0.167,0.785,0.121
Tim Hardaway,22.8350444900753,Backcourt,867,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,0.133
Michael Jackson,21.9418206707734,Backcourt,89,10,2.1,0.8,2.2,0.3,0.1,0.369,0.273,0.675,-0.011
Clint Richardson,22.8952772073922,Backcourt,586,20.2,7,2.4,2.5,0.6,0.2,0.463,0.244,0.77,0.067
Wiley Peck,21.788501026694,Backcourt,52,12.1,3.5,3.5,0.6,0.3,0.4,0.432,0,0.618,0.023
Ed Horton,21.5420944558522,Frontcourt,45,8.3,4.5,2.4,0.4,0.2,0.1,0.494,0,0.609,0.05
John Paxson,22.7583846680356,Backcourt,772,22.4,7.2,1.2,3.6,0.7,0.1,0.499,0.355,0.804,0.101
John Thomas,21.8104038329911,Frontcourt,208,10.8,2.7,2.1,0.3,0.3,0.2,0.502,0,0.591,0.067
Marc Jackson,22.4544832306639,Frontcourt,387,19.6,8.4,4.3,0.8,0.4,0.3,0.446,0.226,0.814,0.082
Jon Barry,22.9308692676249,Backcourt,821,16.9,5.7,1.8,2.2,0.9,0.1,0.434,0.392,0.848,0.129
Terry Porter,22.2108145106092,Backcourt,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.386,0.836,0.15
Todd Day,22.476386036961,Backcourt,483,25.3,12.3,3.4,1.5,1.1,0.6,0.406,0.345,0.739,0.069
Edgar Jones,23.0355920602327,Frontcourt,363,19.2,9,4.8,0.9,0.6,1.3,0.506,0.262,0.71,0.103
Trevor Wilson,22.2956878850103,Frontcourt,103,15.6,5.7,3.4,1,0.5,0.1,0.456,0,0.567,0.023
Rickie Winslow,22.9199178644764,Frontcourt,7,6.4,1,1,0.3,0.1,0,0.231,0,0.5,-0.165
Marcus Liberty,21.6789869952088,Frontcourt,267,17.1,7.3,3.5,0.9,0.7,0.3,0.417,0.34,0.664,0.042
Darnell Valentine,22.3613963039014,Backcourt,620,23.2,8.7,2.1,5,1.5,0.1,0.437,0.261,0.787,0.074
Sidney Lowe,23.4490075290897,Backcourt,193,17.7,2.9,1.7,3.9,1,0,0.367,0.133,0.764,0.055
Kenny Williams,21.062970568104,Frontcourt,260,11.2,4.8,2.7,0.6,0.3,0.6,0.511,0,0.68,0.122
Phil Hubbard,22.5448323066393,Frontcourt,665,23.9,10.9,5.3,1.3,0.9,0.1,0.495,0.038,0.706,0.088
Hakeem Olajuwon,21.4243668720055,Frontcourt,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,0.177
Reggie Johnson,22.974674880219,Frontcourt,305,19.6,8.4,4.1,0.9,0.4,0.6,0.505,0.143,0.716,0.088
Walter Berry,22.1067761806982,Frontcourt,205,23.7,14.1,4.7,1.4,0.6,0.7,0.539,0.2,0.638,0.081
Greg Kelser,21.7830253251198,Frontcourt,305,19.8,9.7,4.6,1.3,0.8,0.5,0.486,0.167,0.686,0.069
Dudley Bradley,22.2819986310746,Backcourt,600,17,5.2,1.8,1.9,1.6,0.3,0.44,0.293,0.73,0.078
Calvin Natt,22.4736481861739,Frontcourt,599,31.4,17.2,6.8,2.2,0.9,0.3,0.528,0.219,0.768,0.146
Voshon Lenard,21.1396303901437,Backcourt,565,27.2,11.9,2.8,2.1,0.8,0.2,0.415,0.384,0.787,0.093
Al Wood,23.0355920602327,Backcourt,417,23.8,11.8,3,1.8,0.7,0.4,0.465,0.211,0.789,0.074
Bobby Phills,21.5284052019165,Backcourt,467,28.7,11,3.1,2.7,1.3,0.3,0.443,0.39,0.738,0.097
Mark Davis,22.186173853525,Backcourt,230,16,5.5,3,1.3,0.9,0.3,0.442,0.246,0.655,0.03
Jerry Stackhouse,20.6570841889117,Backcourt,970,31.2,16.9,3.2,3.3,0.9,0.5,0.409,0.309,0.822,0.083
Travis Mays,22.0355920602327,Backcourt,115,25.8,11.1,2,2.8,0.9,0.1,0.41,0.362,0.749,0.039
Erick Dampier,20.9664613278576,Frontcourt,987,24.3,7.4,7.1,0.8,0.3,1.4,0.498,0.125,0.626,0.105
Jose Ortiz,23.6735112936345,Frontcourt,64,6.1,2.9,1.1,0.3,0.2,0.1,0.443,0.333,0.596,0.002
Linton Townes,22.5941136208077,Frontcourt,60,9.1,4.3,1.1,0.5,0.3,0.1,0.44,0.36,0.75,0.057
Chris Welp,23.4845995893224,Frontcourt,109,10.8,3.3,2.4,0.4,0.3,0.5,0.446,0,0.681,0.042
Howard Wood,22.0711841204654,Frontcourt,42,8.1,3.4,1.5,0.2,0.2,0.1,0.458,0,0.654,0.049
Alec Kessler,23.4681724845996,Frontcourt,210,14,5.2,3.6,0.4,0.2,0.3,0.426,0.417,0.744,0.033
Randy Wittman,23.6817248459959,Backcourt,543,21.4,7.4,1.4,2.2,0.5,0.1,0.501,0.321,0.753,0.071
Richard Anderson,21.621492128679,Frontcourt,407,14.7,5.6,3.5,1.5,0.6,0.2,0.412,0.333,0.762,0.061
Michael Cage,22.4052019164955,Frontcourt,1140,26.1,7.3,7.6,0.9,0.9,0.6,0.515,0,0.664,0.12
Steve Burtt,21.6351813826146,Backcourt,101,11.1,5.8,0.9,1.2,0.5,0.1,0.426,0.143,0.695,0
Greg Kite,21.9089664613279,Frontcourt,680,14.8,2.5,3.8,0.5,0.3,0.6,0.438,0.167,0.486,0.027
Tracy McGrady,18.1013004791239,Frontcourt,938,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,0.152
Mark Aguirre,21.5119780971937,Frontcourt,923,30,20,5,3.1,0.7,0.3,0.484,0.312,0.741,0.117
Kevin Johnson,21.3148528405202,Backcourt,735,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.305,0.841,0.178
Howard Eisley,21.580424366872,Backcourt,786,20.4,6.5,1.7,3.5,0.7,0.1,0.407,0.35,0.827,0.058
Winston Garland,22.5201916495551,Backcourt,511,26.2,9.4,2.8,4.7,1.3,0.2,0.43,0.281,0.83,0.051
Matt Geiger,22.8021902806297,Frontcourt,552,22.1,9.2,5.7,0.7,0.6,0.6,0.499,0.232,0.728,0.112
Alton Lister,22.703627652293,Frontcourt,953,19.9,6.6,6.3,1,0.4,1.5,0.512,0.111,0.597,0.093
Mark Pope,23.8049281314168,Frontcourt,153,10.7,1.9,1.7,0.4,0.2,0.3,0.401,0.179,0.573,0.038
Scot Pollard,22.3805612594114,Frontcourt,506,16.5,4.4,4.6,0.4,0.6,0.7,0.494,0,0.709,0.153
Sam Cassell,23.6297056810404,Backcourt,993,30,15.7,3.2,6,1.1,0.2,0.454,0.331,0.861,0.141
Armen Gilliam,23.082135523614,Frontcourt,929,28.4,13.7,6.9,1.2,0.7,0.7,0.489,0,0.776,0.106
Lionel Simmons,21.6297056810404,Frontcourt,454,29.7,12.8,6.2,3.3,1.1,0.8,0.433,0.305,0.771,0.06
Chuck Person,21.9856262833676,Frontcourt,943,30.7,14.7,5.1,2.8,0.7,0.2,0.458,0.362,0.723,0.065
Dikembe Mutombo,25.0191649555099,Frontcourt,1196,30.8,9.8,10.3,1,0.4,2.8,0.518,0,0.684,0.153
Jon Sundvold,22.0027378507871,Backcourt,502,17.6,7.7,1.1,2.9,0.4,0,0.452,0.392,0.849,0.048
Jose Slaughter,21.8158795345654,Backcourt,63,8.2,3.6,1.1,0.8,0.6,0.1,0.374,0.22,0.644,-0.007
Tony Campbell,22.1341546885695,Frontcourt,690,22,11.6,3.1,1.5,0.8,0.2,0.456,0.254,0.79,0.065
Jason Kidd,21.2819986310746,Backcourt,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,0.133
Eddie Johnson,22.1232032854209,Frontcourt,1199,27.2,16,4,2.1,0.6,0.2,0.472,0.335,0.84,0.097
Lawrence Funderburke,23.5530458590007,Frontcourt,318,14.9,6.4,3.6,0.6,0.3,0.3,0.506,0.118,0.675,0.131
DeWayne Scales,21.4654346338125,Frontcourt,49,10.6,4.6,2.9,0.2,0.3,0.1,0.417,0.167,0.628,0.017
Sasha Danilovic,22.3394934976044,Backcourt,75,31.1,12.8,2.4,2,0.9,0.2,0.439,0.379,0.789,0.087
Brian Grant,22.331279945243,Frontcourt,756,28.3,10.5,7.4,1.2,0.6,0.7,0.49,0.214,0.746,0.122
Rony Seikaly,23.1505817932923,Frontcourt,678,31.6,14.7,9.5,1.3,0.7,1.3,0.484,0.188,0.679,0.084
Brent Price,23.5557837097878,Backcourt,418,16.8,5.9,1.6,3,0.7,0,0.426,0.387,0.824,0.082
Jerry Reynolds,22.5010266940452,Backcourt,443,18.9,9.1,3,2,1.1,0.6,0.418,0.226,0.749,0.06
Dallas Comegys,22.8596851471595,Frontcourt,142,15.8,6,3.2,0.7,0.5,0.9,0.457,0,0.682,0.024
Rex Walters,23.3175906913073,Backcourt,335,13.7,4.6,1.2,1.7,0.4,0.1,0.441,0.361,0.809,0.066
Alphonso Ford,21.6789869952088,Backcourt,11,10.4,3.2,1.8,0.9,0.3,0,0.308,0.1,0.5,-0.153
Gary Trent,20.7775496235455,Frontcourt,506,19.5,8.6,4.5,1,0.4,0.3,0.501,0.08,0.643,0.113
Efthimi Rentzias,20.4709103353867,Frontcourt,35,4.1,1.5,0.7,0.2,0.2,0.1,0.339,0.5,0.889,0.058
Tim McCormick,22.2929500342231,Frontcourt,483,21.5,8.3,4.9,1,0.3,0.4,0.535,0.063,0.703,0.099
Lamond Murray,21.2053388090349,Frontcourt,736,25.1,11.3,4.1,1.3,0.9,0.4,0.43,0.36,0.759,0.052
Glen Rice,22.0985626283368,Frontcourt,1000,35,18.3,4.4,2.1,1,0.3,0.456,0.4,0.846,0.122
Michael Jordan,21.3504449007529,Backcourt,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,0.25
Carey Scurry,22.5530458590007,Frontcourt,180,13.2,4.7,2.9,1.1,1,0.8,0.48,0.25,0.666,0.107
Matt Fish,22.6132785763176,Frontcourt,50,10.2,3.5,2.2,0.5,0.4,0.3,0.5,0,0.625,0.058
Walt Williams,22.2053388090349,Frontcourt,708,26.6,11.8,3.9,2.3,0.9,0.6,0.425,0.379,0.743,0.087
Mitch Richmond,23.0109514031485,Backcourt,976,35.2,21,3.9,3.5,1.2,0.3,0.455,0.388,0.85,0.111
Kyle Macy,22.2245037645448,Backcourt,551,25.9,9.5,2.2,4,1.1,0.1,0.501,0.337,0.873,0.121
Dwayne Morton,22.9062286105407,Frontcourt,41,9.6,4.1,1.4,0.4,0.3,0.4,0.388,0.36,0.682,0.025
